ticket_id,trip_id,sold_at,payment_method,fare_kzt,passenger_type
183,10088,2025-06-14T08:45:09,cash,94.0,student
184,9891,2025-06-18T02:26:09,cash,74.0,adult
185,5073,2025-07-14T05:58:09,card,83.0,adult
186,2095,2025-07-04T20:33:09,cash,85.0,student
187,69,2025-04-18T03:40:09,card,91.0,adult
188,242,2025-09-03T21:50:09,card,54.0,adult
189,8451,2025-05-22T22:12:09,card,100.0,student
190,2352,2025-06-24T16:12:09,card,109.0,student
191,1863,2025-08-21T09:15:09,card,60.0,adult
192,10459,2025-07-22T09:07:09,qr,116.0,adult
193,1851,2025-07-05T18:13:09,card,123.0,adult
194,1839,2025-05-21T22:50:09,card,50.0,adult
195,5698,2025-09-21T13:42:09,card,59.0,adult
196,2803,2025-05-02T06:16:09,card,122.0,adult
197,890,2025-06-14T18:20:09,qr,78.0,adult
198,8296,2025-07-10T13:55:09,card,68.0,adult
199,6204,2025-04-03T10:34:09,card,101.0,adult
200,5730,2025-05-07T04:33:09,cash,70.0,student
201,2879,2025-05-04T21:36:09,card,94.0,adult
202,7849,2025-04-14T04:50:09,card,122.0,student
203,6772,2025-06-06T22:39:09,cash,56.0,student
204,6757,2025-05-18T22:06:09,qr,93.0,adult
205,11187,2025-05-22T14:47:09,card,67.0,adult
206,6870,2025-04-25T01:39:09,card,112.0,adult
207,11106,2025-06-16T15:48:09,cash,91.0,student
208,10473,2025-09-08T05:21:09,card,100.0,student
209,1270,2025-08-16T08:58:09,card,83.0,senior
210,2614,2025-04-02T18:09:09,card,115.0,adult
211,8237,2025-06-03T22:49:09,card,65.0,adult
212,1671,2025-08-20T09:31:09,card,108.0,adult
213,8723,2025-04-23T13:14:09,card,122.0,adult
214,4859,2025-08-09T18:21:09,card,116.0,adult
215,3705,2025-08-13T09:21:09,card,118.0,adult
216,6416,2025-06-01T08:20:09,qr,79.0,student
217,3534,2025-09-06T11:19:09,cash,97.0,student
218,5886,2025-09-02T13:53:09,card,131.0,adult
219,9141,2025-06-14T20:06:09,card,116.0,adult
220,6479,2025-06-13T22:09:09,card,111.0,student
221,11808,2025-06-16T14:16:09,card,99.0,adult
222,5835,2025-07-01T00:43:09,cash,61.0,adult
223,9777,2025-06-15T10:55:09,cash,50.0,adult
224,6215,2025-07-03T13:00:09,card,110.0,student
225,10091,2025-08-03T08:58:09,card,81.0,adult
226,11184,2025-07-30T04:23:09,card,108.0,adult
227,10554,2025-06-01T06:14:09,card,85.0,adult
228,599,2025-09-15T21:24:09,cash,85.0,adult
229,1811,2025-09-19T20:56:09,card,69.0,student
230,11300,2025-04-25T17:32:09,card,61.0,student
231,9449,2025-05-04T19:49:09,cash,139.0,adult
232,7047,2025-07-18T03:36:09,qr,85.0,adult
233,7720,2025-04-26T18:45:09,card,94.0,adult
234,574,2025-08-06T12:09:09,cash,120.0,adult
235,6120,2025-06-04T08:31:09,card,118.0,adult
236,642,2025-08-19T05:10:09,card,81.0,adult
237,7550,2025-04-10T18:03:09,card,87.0,adult
238,6859,2025-05-27T02:11:09,qr,81.0,adult
239,7707,2025-04-11T14:21:09,card,86.0,student
240,8269,2025-08-23T12:22:09,card,94.0,senior
241,12000,2025-09-07T21:18:09,card,95.0,adult
242,6244,2025-08-27T04:12:09,card,110.0,adult
243,9749,2025-05-21T13:50:09,qr,77.0,adult
244,5387,2025-09-18T10:58:09,qr,76.0,adult
245,8955,2025-05-12T18:49:09,card,76.0,adult
246,3325,2025-08-04T23:12:09,card,112.0,adult
247,5197,2025-04-19T05:16:09,cash,92.0,adult
248,7280,2025-04-29T07:09:09,card,123.0,adult
249,11636,2025-05-06T19:28:09,card,95.0,adult
250,10772,2025-07-24T15:37:09,qr,111.0,adult
251,3222,2025-04-29T17:34:09,cash,112.0,adult
252,5069,2025-04-05T11:18:09,card,87.0,adult
253,936,2025-04-15T15:56:09,qr,93.0,adult
254,8349,2025-08-06T12:43:09,card,77.0,adult
255,834,2025-04-03T02:02:09,card,77.0,adult
256,209,2025-09-08T00:15:09,cash,87.0,adult
257,8891,2025-06-30T14:21:09,qr,99.0,adult
258,5400,2025-04-20T19:05:09,card,83.0,adult
259,2202,2025-08-31T15:27:09,card,89.0,student
260,9141,2025-05-13T02:35:09,cash,72.0,adult
261,9327,2025-04-22T23:41:09,card,107.0,student
262,10103,2025-09-06T23:17:09,qr,72.0,adult
263,9768,2025-09-11T20:49:09,card,115.0,student
264,6445,2025-08-13T02:05:09,card,77.0,student
265,11345,2025-08-20T18:09:09,card,101.0,adult
266,6799,2025-04-08T09:38:09,cash,87.0,student
267,8343,2025-05-09T09:53:09,cash,83.0,adult
268,1662,2025-05-05T10:51:09,card,86.0,adult
269,6506,2025-04-23T12:34:09,card,102.0,adult
270,3546,2025-09-04T03:56:09,qr,71.0,adult
271,9617,2025-09-19T08:11:09,qr,81.0,adult
272,8009,2025-04-26T22:44:09,cash,134.0,student
273,8419,2025-04-07T05:08:09,card,131.0,adult
274,9203,2025-05-20T02:50:09,cash,101.0,student
275,7533,2025-06-27T08:06:09,card,88.0,student
276,983,2025-04-21T22:09:09,card,109.0,adult
277,2761,2025-08-13T11:24:09,card,77.0,student
278,11532,2025-09-06T13:58:09,card,124.0,adult
279,8319,2025-06-01T13:20:09,cash,129.0,adult
280,11443,2025-06-16T07:08:09,card,110.0,adult
281,836,2025-07-01T15:36:09,qr,90.0,senior
282,2252,2025-04-14T06:58:09,cash,72.0,adult
283,7981,2025-09-16T10:53:09,qr,67.0,adult
284,543,2025-06-06T04:17:09,card,106.0,student
285,838,2025-07-26T18:06:09,card,97.0,adult
286,4093,2025-08-20T00:54:09,card,110.0,adult
287,8122,2025-07-10T07:19:09,cash,101.0,adult
288,11505,2025-04-17T22:24:09,card,131.0,student
289,11688,2025-07-06T07:18:09,card,104.0,adult
290,5317,2025-08-06T04:17:09,cash,73.0,adult
291,8812,2025-09-06T18:06:09,card,80.0,adult
292,3765,2025-05-31T04:12:09,qr,121.0,student
293,8471,2025-08-26T14:19:09,qr,95.0,adult
294,10737,2025-07-03T05:03:09,card,96.0,student
295,7593,2025-07-17T04:52:09,cash,64.0,adult
296,1612,2025-06-28T06:27:09,card,78.0,adult
297,3355,2025-05-19T05:17:09,card,131.0,adult
298,11294,2025-08-27T08:21:09,cash,105.0,adult
299,9465,2025-06-18T22:39:09,qr,107.0,student
300,9708,2025-09-05T20:30:09,card,77.0,student
301,606,2025-04-27T12:36:09,card,72.0,student
302,4603,2025-04-03T19:32:09,qr,86.0,adult
303,6197,2025-08-18T05:13:09,card,98.0,adult
304,9449,2025-09-20T02:44:09,card,76.0,adult
305,1245,2025-05-28T05:34:09,card,87.0,adult
306,9074,2025-04-03T07:57:09,qr,94.0,senior
307,7354,2025-05-28T02:44:09,qr,56.0,adult
308,6959,2025-03-26T07:03:09,qr,103.0,adult
309,10354,2025-06-15T01:07:09,qr,69.0,adult
310,9378,2025-08-25T15:19:09,card,111.0,adult
311,8552,2025-05-22T04:57:09,qr,78.0,student
312,6002,2025-05-09T13:13:09,card,63.0,adult
313,11669,2025-05-06T06:56:09,cash,63.0,adult
314,10109,2025-03-30T13:02:09,card,59.0,adult
315,3583,2025-03-31T09:07:09,cash,66.0,adult
316,9520,2025-09-11T02:38:09,cash,79.0,adult
317,6832,2025-09-06T04:41:09,card,109.0,adult
318,10876,2025-06-02T15:52:09,card,50.0,adult
319,4487,2025-04-25T04:00:09,cash,70.0,adult
320,9571,2025-07-20T08:02:09,card,133.0,student
321,3127,2025-04-01T09:48:09,card,80.0,student
322,11052,2025-06-26T22:58:09,card,101.0,student
323,2078,2025-06-25T07:27:09,card,100.0,adult
324,2139,2025-08-24T00:48:09,card,76.0,student
325,11765,2025-05-02T01:22:09,card,80.0,adult
326,3328,2025-04-01T04:00:09,card,111.0,adult
327,6230,2025-08-10T15:13:09,cash,120.0,adult
328,5430,2025-06-20T02:23:09,cash,58.0,adult
329,9448,2025-07-30T14:14:09,card,113.0,adult
330,2914,2025-05-03T01:13:09,qr,53.0,adult
331,4053,2025-05-29T15:42:09,card,109.0,adult
332,10761,2025-07-23T03:41:09,card,112.0,adult
333,11026,2025-05-21T07:17:09,cash,96.0,student
334,2158,2025-06-29T18:38:09,cash,88.0,student
335,5855,2025-07-04T17:37:09,card,120.0,student
336,5507,2025-08-06T07:59:09,card,81.0,student
337,6166,2025-03-27T20:58:09,card,96.0,adult
338,6260,2025-09-15T10:32:09,qr,77.0,student
339,590,2025-05-28T10:45:09,qr,118.0,adult
340,10477,2025-04-09T18:41:09,cash,90.0,adult
341,2974,2025-04-02T17:53:09,cash,104.0,student
342,3110,2025-04-11T06:57:09,qr,50.0,adult
343,9732,2025-07-09T23:05:09,card,81.0,adult
344,11636,2025-06-01T13:19:09,cash,73.0,adult
345,10825,2025-04-07T23:33:09,qr,72.0,adult
346,3504,2025-04-27T03:54:09,card,105.0,adult
347,8948,2025-05-18T00:53:09,card,70.0,adult
348,1956,2025-04-11T05:09:09,card,90.0,adult
349,4850,2025-07-17T16:19:09,cash,133.0,student
350,3043,2025-05-17T08:42:09,card,88.0,adult
351,2725,2025-06-18T20:38:09,card,62.0,student
352,10573,2025-04-09T15:19:09,card,112.0,student
353,10662,2025-06-10T03:11:09,cash,81.0,adult
354,1829,2025-05-05T23:46:09,card,87.0,adult
355,4439,2025-05-25T04:27:09,cash,62.0,adult
356,384,2025-06-29T11:21:09,card,118.0,adult
357,9910,2025-09-08T23:28:09,qr,114.0,student
358,3500,2025-04-08T17:37:09,card,106.0,student
359,7188,2025-09-17T04:02:09,card,119.0,adult
360,6535,2025-08-17T21:45:09,card,100.0,adult
361,2380,2025-07-29T23:40:09,card,71.0,adult
362,4280,2025-07-17T11:16:09,qr,70.0,adult
363,1334,2025-04-07T13:10:09,qr,90.0,senior
364,1929,2025-07-21T03:31:09,card,92.0,adult
365,10176,2025-09-15T09:48:09,card,88.0,student
366,4371,2025-04-29T05:25:09,cash,50.0,adult
367,5441,2025-05-16T10:39:09,cash,96.0,adult
368,8311,2025-04-24T13:12:09,cash,62.0,adult
369,10532,2025-07-13T05:00:09,card,107.0,adult
370,5234,2025-05-29T18:11:09,cash,65.0,adult
371,10454,2025-06-27T06:31:09,card,110.0,adult
372,6873,2025-05-03T02:37:09,cash,94.0,student
373,614,2025-06-18T19:44:09,card,72.0,student
374,11365,2025-06-16T07:36:09,card,99.0,adult
375,3143,2025-06-06T01:19:09,qr,118.0,adult
376,8979,2025-04-29T06:43:09,cash,96.0,adult
377,10451,2025-08-20T15:05:09,cash,69.0,adult
378,9646,2025-08-16T17:19:09,card,81.0,adult
379,7307,2025-06-22T10:06:09,card,82.0,adult
380,3457,2025-05-14T19:52:09,cash,74.0,adult
381,7758,2025-06-10T03:37:09,qr,55.0,adult
382,6137,2025-06-08T07:39:09,card,128.0,adult
383,7949,2025-09-13T13:52:09,card,75.0,adult
384,4136,2025-04-18T20:47:09,card,55.0,senior
385,8251,2025-09-09T20:00:09,card,64.0,adult
386,5815,2025-07-19T12:35:09,cash,73.0,adult
387,11656,2025-06-12T07:52:09,qr,50.0,student
388,1343,2025-08-18T14:42:09,card,105.0,adult
389,8688,2025-06-16T09:31:09,card,101.0,adult
390,6222,2025-04-04T12:49:09,card,94.0,student
391,6906,2025-07-30T18:05:09,card,65.0,adult
392,6310,2025-05-13T00:16:09,cash,106.0,student
393,1630,2025-05-14T08:33:09,qr,84.0,adult
394,6900,2025-08-19T08:38:09,qr,117.0,student
395,5028,2025-05-12T00:19:09,card,50.0,senior
396,2816,2025-09-19T14:24:09,card,71.0,adult
397,11100,2025-07-16T14:49:09,card,68.0,adult
398,2658,2025-05-27T05:06:09,card,65.0,adult
399,5059,2025-07-30T12:02:09,card,100.0,adult
400,4413,2025-07-07T13:43:09,card,114.0,adult
401,5443,2025-07-01T05:34:09,card,105.0,adult
402,6453,2025-08-21T22:45:09,card,90.0,adult
403,7563,2025-09-04T22:40:09,card,95.0,adult
404,4042,2025-07-21T01:00:09,qr,101.0,adult
405,4165,2025-07-17T11:51:09,card,72.0,adult
406,8474,2025-06-23T22:48:09,card,94.0,adult
407,8369,2025-04-24T15:28:09,card,87.0,adult
408,7022,2025-07-01T19:35:09,card,55.0,adult
409,6230,2025-07-05T01:24:09,cash,134.0,adult
410,1355,2025-08-03T06:51:09,card,97.0,adult
411,6795,2025-07-10T18:15:09,card,70.0,student
412,2687,2025-07-04T13:13:09,qr,81.0,adult
413,876,2025-09-18T04:28:09,card,100.0,adult
414,7256,2025-03-30T23:53:09,card,95.0,adult
415,6281,2025-06-18T17:31:09,card,87.0,adult
416,6384,2025-06-07T10:03:09,qr,120.0,senior
417,8793,2025-08-05T16:33:09,card,84.0,adult
418,4071,2025-09-06T06:08:09,card,106.0,adult
419,4030,2025-09-13T17:07:09,card,111.0,adult
420,2063,2025-05-27T09:09:09,qr,108.0,adult
421,912,2025-07-19T04:06:09,card,84.0,adult
422,11046,2025-09-13T07:10:09,cash,64.0,student
423,3458,2025-05-27T19:28:09,cash,50.0,student
424,5394,2025-07-01T12:30:09,card,90.0,adult
425,10889,2025-06-07T23:48:09,card,95.0,student
426,2551,2025-09-03T01:29:09,card,75.0,adult
427,2099,2025-08-30T03:18:09,cash,92.0,adult
428,8651,2025-04-29T13:20:09,card,110.0,student
429,4254,2025-03-30T18:05:09,cash,69.0,adult
430,3072,2025-08-25T18:48:09,card,75.0,adult
431,9354,2025-06-18T04:46:09,qr,57.0,adult
432,3188,2025-06-28T23:38:09,card,80.0,student
433,65,2025-05-16T00:11:09,cash,102.0,adult
434,9925,2025-07-24T20:33:09,card,81.0,student
435,11647,2025-03-29T23:20:09,cash,87.0,adult
436,10895,2025-06-07T17:43:09,card,66.0,student
437,1384,2025-07-23T15:50:09,card,117.0,senior
438,5618,2025-05-08T22:06:09,card,107.0,student
439,10615,2025-06-13T15:48:09,card,69.0,student
440,7588,2025-06-02T13:57:09,cash,93.0,student
441,3587,2025-04-23T18:09:09,card,99.0,adult
442,4333,2025-05-11T20:03:09,card,130.0,adult
443,3762,2025-05-22T14:50:09,card,107.0,adult
444,7604,2025-04-23T00:05:09,card,113.0,senior
445,7833,2025-06-26T22:53:09,cash,88.0,student
446,8737,2025-04-18T23:26:09,qr,90.0,adult
447,3339,2025-03-28T20:31:09,card,96.0,adult
448,8653,2025-08-02T01:28:09,qr,82.0,adult
449,5274,2025-08-18T18:59:09,card,112.0,adult
450,489,2025-07-19T05:55:09,card,84.0,student
451,9375,2025-08-05T20:21:09,card,99.0,student
452,1184,2025-06-27T23:00:09,card,64.0,student
453,113,2025-04-30T04:49:09,card,71.0,adult
454,8496,2025-05-03T15:01:09,card,77.0,adult
455,1045,2025-04-26T07:12:09,card,98.0,adult
456,6383,2025-07-22T20:00:09,card,113.0,adult
457,4022,2025-09-09T12:09:09,card,65.0,student
458,11320,2025-09-13T01:07:09,card,78.0,senior
459,3711,2025-05-26T17:41:09,qr,96.0,adult
460,1243,2025-09-13T12:14:09,card,96.0,student
461,1631,2025-07-15T12:47:09,cash,120.0,adult
462,11877,2025-05-22T10:23:09,cash,102.0,student
463,11541,2025-07-25T13:50:09,card,93.0,student
464,1603,2025-05-03T08:44:09,card,92.0,adult
465,4040,2025-04-09T22:42:09,card,105.0,adult
466,378,2025-09-07T13:12:09,card,151.0,adult
467,9858,2025-04-30T10:23:09,cash,106.0,student
468,10788,2025-04-26T16:29:09,card,117.0,adult
469,8475,2025-05-30T07:20:09,card,111.0,adult
470,6049,2025-07-19T02:14:09,card,92.0,adult
471,4433,2025-09-03T10:57:09,card,53.0,adult
472,3441,2025-04-03T04:29:09,cash,82.0,adult
473,8555,2025-03-26T18:52:09,card,92.0,adult
474,6862,2025-06-22T18:30:09,cash,101.0,adult
475,5586,2025-04-06T03:28:09,card,105.0,student
476,4531,2025-06-14T19:36:09,card,104.0,adult
477,8765,2025-05-23T09:27:09,cash,50.0,adult
478,11864,2025-04-26T13:15:09,cash,89.0,student
479,1469,2025-06-11T01:14:09,cash,85.0,adult
480,9288,2025-07-09T12:03:09,card,68.0,student
481,5441,2025-08-31T15:35:09,cash,96.0,adult
482,7872,2025-06-25T23:53:09,card,99.0,student
483,9589,2025-04-28T14:11:09,card,73.0,adult
484,3866,2025-09-01T18:56:09,card,108.0,adult
485,2402,2025-04-08T22:07:09,qr,58.0,adult
486,311,2025-05-01T18:32:09,card,73.0,adult
487,11589,2025-05-26T19:20:09,cash,108.0,senior
488,9569,2025-05-28T15:40:09,card,104.0,adult
489,8630,2025-05-31T20:55:09,card,107.0,adult
490,574,2025-08-21T02:10:09,card,99.0,adult
491,11072,2025-09-17T08:59:09,card,89.0,adult
492,1358,2025-04-01T18:22:09,qr,75.0,student
493,3481,2025-07-28T01:16:09,cash,85.0,adult
494,7068,2025-06-11T14:59:09,card,126.0,adult
495,141,2025-09-09T07:21:09,card,128.0,adult
496,9084,2025-05-31T05:43:09,card,84.0,adult
497,11124,2025-08-01T22:39:09,card,126.0,student
498,4908,2025-09-17T03:41:09,qr,144.0,senior
499,1453,2025-06-08T01:47:09,card,63.0,student
500,7069,2025-04-03T16:23:09,qr,89.0,adult
501,9336,2025-09-10T08:56:09,card,70.0,student
502,11684,2025-05-17T07:59:09,qr,126.0,adult
503,3263,2025-05-28T00:19:09,card,70.0,adult
504,3376,2025-08-24T01:16:09,card,84.0,adult
505,996,2025-07-05T03:53:09,cash,97.0,adult
506,528,2025-07-01T12:39:09,card,89.0,adult
507,8839,2025-07-04T11:48:09,cash,68.0,adult
508,2663,2025-07-18T02:47:09,card,74.0,adult
509,3647,2025-08-25T15:51:09,card,77.0,adult
510,5358,2025-09-03T02:24:09,qr,66.0,adult
511,931,2025-06-03T01:03:09,qr,103.0,adult
512,9329,2025-07-27T23:14:09,card,101.0,adult
513,6830,2025-09-03T02:53:09,cash,82.0,student
514,5032,2025-04-04T03:20:09,card,84.0,adult
515,2798,2025-06-29T05:17:09,cash,81.0,adult
